idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
4033;4033;54 Chemin de Pommier ;Meyzieu;;angle de rue;V101.0.CS;Col Est;GPE;2020-12-11;2021-01-05;2021-01-05;;69282;836;4,996279196800539;45,775372519429425
2390;2390;Face au 41 Rue du 8 Mai 1945;Villeurbanne;;modif position sur emplacement;Z101.0.CS;Col Est;GPE;2017-05-22;2017-02-01;2019-09-06;2019-02-12;69266;740;4,892800301747179;45,78011375327705
4018;4018;8 Boulevard des Turfistes;Bron;;150m après l'entrée de l'Hippodrome;Z101.0.CS;Col Est;GPE;2020-09-18;2020-10-06;2020-10-06;;69029;852;4,910035811472365;45,7187511652165
4725;4725;6 Rue Saint Mathieu;Meyzieu;;;V101.0.CS;Col Est;GPE;2022-03-24;2022-03-30;2022-03-30;;69282;881;4,993078100420705;45,761669882169855
2388;2388;5-7 Rue Emile Bouvier;Villeurbanne;;;Z101.0.CS;Col Est;GPE;2017-05-22;2017-02-01;2018-04-24;;69266;870;4,890383857107906;45,77922340247573
1588;1588;8 Rue de la Boube;Villeurbanne;21226;;Z101.0.CS;Col Est;GPE;2023-02-22;2023-03-30;2023-03-30;;69266;873;4,893100438265576;45,780713899713426
4030;4030;Bld Emile Bollaert Pont Auto Routier;Bron;;;Z101.0.CS;Col Est;GPE;2020-09-18;2020-10-07;2020-10-07;;69029;883;4,895472768366495;45,7255080402695
E244;E244;12 Rue Gaston Monmousseau;Vénissieux;20432;;V101.0.CS;Col Sud;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69259;884;4,877769312382196;45,69637684982904
7074;7074;67 Rue des Martyrs de la Résistance;Vénissieux;20388;;V101.0.CS;Col Sud;COL VEOLIA;2019-01-02;2019-01-11;2019-01-11;;69259;889;4,871263787452378;45,690795888676284
E674;E674;118-120 Rue Léon Blum;Villeurbanne;;interieur batiment;Z101.0.CS;Col Est;GPE;2019-07-01;2019-09-09;2019-12-09;;69266;1040;4,901838246263836;45,76015399526679
