idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E315;E315;Avenue des Arts;Villeurbanne;33788;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2013-06-27;2018-04-24;;69266;2488;4,873616156945977;45,784048143365744
7115;7115;Rue André Philip/Hanus;Lyon 3e Arrondissement;;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-11-02;2018-04-24;;69383;2495;4,851188771715068;45,75801037792463
2108;2108;Place Joseph Thévenot;Sathonay-Camp;26645; ;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2018-09-03;2018-11-19;2018-11-19;;69292;2537;4,875513873170773;45,82454634026876
3696;3696;Face au 52 Rue de l'Egalité;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2016-04-13;2018-04-24;;69275;2525;4,96676304357515;45,767364966800805
7671;7671;82 Rue Saint Jérome;Lyon 7e Arrondissement;28697;;X101.0.VERRE;Col Sud;SITA;2018-03-16;2018-03-29;2022-04-13;2022-04-13;69387;2513;4,840127169564139;45,74650676239535
4060;4060;Face au445 Cours Emile Zola;Villeurbanne;;;Z101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2017-03-21;2018-04-24;;69266;2535;4,912069434163198;45,76347366447628
7312;7312;25 Rue Sainte Barbe;Sainte-Foy-lès-Lyon;33731;;V101.0.VERRE;Col Sud;COL GUERIN;2017-05-22;2016-12-22;2018-04-24;;69202;2522;4,787384635467824;45,7320291888345
1023;1023;21 Rue Michelet;Rillieux-la-Pape;25228;Face à l'hôtel;V101.0.VERRE;Col Nord-Ouest;COL GUERIN;2019-01-01;2019-06-05;2019-07-02;;69286;2515;4,8908031924552;45,81561233121025
4041;4041;4 Boulevard des Turfistes;Bron;;;Y101.0.VERRE;Col Est;COL GUERIN;2021-01-26;2021-01-29;2021-01-29;;69029;2553;4,9136024693486515;45,72173503456124
6664;6664;Rue de Provence /Rue de Bourgogne;Saint-Priest;;;V101.0.VERRE;Col Est;COL GUERIN;2017-05-22;2005-12-22;2018-04-24;2009-01-22;69290;2569;4,922910590051188;45,69379451408865
1405;1405;31b Rue de Marseille;Meyzieu;24165;;V101.0.VERRE;Col Est;COL GUERIN;2023-02-02;2023-02-15;2023-02-15;;69282;2574;5,014442622957719;45,7608310158775
4166;4166;9 Rue Vaucanson;Décines-Charpieu;;;V101.0.VERRE;Col Est;COL GUERIN;2018-10-08;2018-10-19;2022-03-14;;69275;2629;4,93679770248281;45,75350295364038
6996;6996;6 Place des Cordeliers;Lyon 2e Arrondissement;27514;;X101.0.VERRE;Col Nord-Ouest;COL GUERIN;2017-05-22;2015-04-08;2021-04-02;2018-08-29;69382;2594;4,837413327568631;45,76344643088192
7126;7126;Rue du Dauphiné/Théodore;Lyon 3e Arrondissement;;;Y101.0.VERRE;Col Est;GPE;2017-05-22;2015-11-18;2018-04-24;;69383;2603;4,863602290653196;45,74990226521306
