idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
B0640;B0640;87 Rue Maryse Bastié;Lyon 8e Arrondissement;;L8BA024;Z101.0.ALIM;Col Sud;GPE;2023-06-06;2023-07-24;;;69388;4582;4,873919999502145;45,73188000009575
B0427;B0427;106 Cours Tolstoï;Villeurbanne;;GCDC36;Z101.0.ALIM;Col Est;GPE;2022-09-01;2022-12-20;;;69266;4583;4,879724893507306;45,76216592031432
B1383;B1383;Avenue Camille Rousset;Bron;;RJFM13;Z101.0.ALIM;Col Est;GPE;2024-01-23;2024-01-31;;;69029;5067;4,9068728067112275;45,73499380408944
B0267;B0267;18 Chemin de Charrière Blanche;Écully;;ECU23;1101.0.ALIM;Col Nord-Ouest;COL NO;2022-11-23;2023-01-12;2023-01-31;;69081;4589;4,774260915461747;45,77934659230719
B0919;B0919;17 Rue de Nuits;Lyon 4e Arrondissement;;CRER-12;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-04-06;2023-07-24;;;69384;4592;4,834937658504157;45,77797298047368
B0089;B0089;5 Rue de l'Abbé Boisard;Lyon 7e Arrondissement;;DA074;X101.0.ALIM;Col Sud;COL SITA;2021-10-01;2022-07-13;;;69387;4594;4,853434109580319;45,74970546109923
B0388;B0388;199 Rue du 4 Août 1789;Villeurbanne;;C12;Z101.0.ALIM;Col Est;GPE;2022-09-01;2022-12-20;;;69266;4607;4,894114200753963;45,764968708517294
B0700;B0700;9 Rue du Presbytère;Lyon 8e Arrondissement;;L8GT009;Z101.0.ALIM;Col Sud;GPE;2023-05-29;2023-07-24;;;69388;4614;4,851799999784339;45,735289999819024
B0824;B0824;17 Rue du Bat d'Argent;Lyon 1er Arrondissement;;BPP-07;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-04-27;2023-07-24;;;69381;4623;4,836444046884942;45,76614743993383
B0688;B0688;14 Boulevard des Etats-Unis;Lyon 8e Arrondissement;;L8EU032;Z101.0.ALIM;Col Sud;GPE;2023-05-15;2023-07-24;;;69388;4624;4,860750000152412;45,737889999721894
B0581;B0581;23 Rue Clément Michut;Villeurbanne;;GCDC54;Z101.0.ALIM;Col Est;GPE;2023-03-28;2023-05-10;2023-05-10;;69266;4630;4,881551629404198;45,76694076263166
B1330;B1330;36 Rue Saint Antoine;Lyon 3e Arrondissement;27953;VPB34;Y101.0.ALIM;Col Est;GPE;2023-12-28;2024-01-09;2024-01-09;;69383;5068;4,867321649663291;45,76295710295063
B0123;B0123;5 Passage Faugier;Lyon 7e Arrondissement;;DA101;X101.0.ALIM;Col Sud;COL SITA;2021-10-01;2022-07-13;;;69387;4634;4,841435039962424;45,742066590215806
B0913;B0913;19 Rue Eugène Pons;Lyon 4e Arrondissement;;CRER-06;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-04-06;2023-07-24;;;69384;4636;4,836555104696955;45,781911540121975
B1024;B1024;19 Rue Casimir Périer;Lyon 2e Arrondissement;;PC-61;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-18;2023-10-12;;;69382;4669;4,8215207004082465;45,74237089988007
B1001;B1001;26 Rue Condé;Lyon 2e Arrondissement;;BCA-38;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-13;2023-10-12;;;69382;4670;4,829476299424434;45,75126809990337
B0983;B0983;4 Rue du plat;Lyon 2e Arrondissement;;BCA-20;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4671;4,829700999910722;45,75871800018341
B0979;B0979;6 Rue Gentil;Lyon 2e Arrondissement;;BCO-16;X101.0.ALIM;Col Nord-Ouest;COL SITA;2023-09-11;2023-10-12;;;69382;4672;4,835764408071494;45,76494216903527
