idemplacementsilo;identifiant;adresse;commune;codefuv;observation_localisante;numerocircuit;gestionnaire;collecteur;datedebutexploitation;datecreation;maj_alphanumerique;maj_geometrie;insee;gid;lon;lat
E157;E157;4 Allée Jean Moulin;Givors;35170;;V101.0.OM;Col Sud;COL VEOLIA;2017-03-20;2017-06-22;2018-04-24;2015-05-13;69091;2072;4,764640435144167;45,60610953868176
E749;E749;Rue Jacqueline Descout;Lyon 9e Arrondissement;;;W101.0.OM;Col Nord-Ouest;NICOLLIN;2020-06-23;2020-06-24;2020-08-20;2020-08-20;69389;2117;4,792914616159911;45,783010391607014
E338;E338;109 Avenue Alexander Fleming;Caluire-et-Cuire;02761;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;;69034;2118;4,8481483797434;45,79400796942705
E608;E608;9 Rue Père Louis De Galard;Lyon 9e Arrondissement;35636;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2015-10-06;2020-08-20;2020-08-20;69389;2157;4,793469748747041;45,785797298007985
E713;E713;7 Rue François Mansart;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-08;2019-11-08;;69290;2210;4,947344244870621;45,689900633996416
E770;E770;42 Avenue du Chater;Francheville;;;V101.0.OM;Col Sud;COL GUERIN;2022-04-20;2022-05-12;2022-05-12;;69089;2330;4,7700768189502165;45,74354531525868
E741 ;E741 ;124-128 Avenue Pierre Brosselette;Bron;;;Z101.0.OM;Col Est;GPE;2019-12-29;2020-05-22;2020-05-22;;69029;2368;4,9195897896172385;45,73921753695588
E714;E714;7 Rue François Mansart;Saint-Priest;;;V101.0.OM;Col Est;COL GUERIN;2019-09-30;2019-11-08;2019-11-08;;69290;2382;4,947370344810151;45,689899714151686
E348;E348;3 Rue Arthur Rimbaud;Lyon 9e Arrondissement;35276;;W101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-05-22;2013-09-19;2020-08-20;2020-08-20;69389;2354;4,793670784576002;45,78771472875078
E100;E100;6 Rue de la Saône;Rillieux-la-Pape;32704;;V101.0.OM;Col Nord-Ouest;COL VEOLIA;2017-03-20;2017-03-21;2018-04-24;2013-02-25;69286;2356;4,896236684598783;45,824385741645486
